Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{81B82214-7FBC-4129-9F6B-4956B4A663AD},25000,1995-08-18 00:00,T,N,F,OLDHAM,OLDHAM,GREATER MANCHESTER,A,A
{8046EC72-1466-42D6-A753-4956BF7CD8A2},42500,1995-08-09 00:00,S,N,F,GRAYS,THURROCK,THURROCK,A,A
{278D581A-5BF3-4FCE-AF62-4956D87691E6},45000,1995-06-30 00:00,T,N,F,HIGHBRIDGE,SEDGEMOOR,SOMERSET,A,A
{1D861C06-A416-4865-973C-4956DB12CD12},43150,1995-11-24 00:00,T,N,F,BEDFORD,NORTH BEDFORDSHIRE,BEDFORDSHIRE,A,A
{DD8645FD-A815-43A6-A7BA-4956E58F1874},18899,1995-06-23 00:00,S,N,F,WAKEFIELD,LEEDS,WEST YORKSHIRE,A,A
{895E4E63-203F-476A-9AA9-42389DD0AE5C},81750,1995-05-19 00:00,S,N,F,SALISBURY,SALISBURY,WILTSHIRE,A,A
{FB195C27-E790-45FD-847A-4238BC94546A},56000,1995-03-10 00:00,S,N,F,WITNEY,WEST OXFORDSHIRE,OXFORDSHIRE,A,A
{1D6B01EC-DC33-4147-8A21-4238BEB2D4C1},31000,1995-03-02 00:00,S,N,F,ST. AUSTELL,RESTORMEL,CORNWALL,A,A
{B8D0F817-4553-448D-A2C1-4238BF81C6FA},82000,1995-06-16 00:00,S,N,F,GREENFORD,EALING,GREATER LONDON,A,A
{6DD27423-CC39-4B31-A848-4238D58268D4},10000,1995-05-17 00:00,T,N,F,FERNDALE,RHONDDA,MID GLAMORGAN,A,A
{26D2C1C8-A3E3-41CE-BC2B-45C866A5AA8B},105000,1995-05-26 00:00,S,N,L,LYTHAM ST. ANNES,FYLDE,LANCASHIRE,A,A
{0B76F591-3A20-45C3-9866-3EA912F24661},59995,1995-01-20 00:00,D,N,F,BELPER,AMBER VALLEY,DERBYSHIRE,A,A
{E8615B54-3171-4C96-ABFF-3EA9203EBF84},31500,1995-02-28 00:00,T,N,F,BRIDGWATER,SEDGEMOOR,SOMERSET,A,A
{09268CEC-8551-4E3A-AED4-3EA9259D3470},37500,1995-12-08 00:00,T,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{DA56CFC9-DE18-4A77-9230-3EA92F12B798},41000,1995-04-24 00:00,T,N,F,BIDEFORD,TORRIDGE,DEVON,A,A
{6F40F213-A5F8-497B-92FE-3B1849135192},82750,1995-05-02 00:00,S,N,F,FARNBOROUGH,HART,HAMPSHIRE,A,A
{9AE61270-4481-4152-841B-4956EDE13AC6},34000,1995-07-31 00:00,S,N,L,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{DECB21B3-BCF5-4931-B9C6-45C880BAF99C},40000,1995-12-01 00:00,S,N,F,MIDDLESBROUGH,MIDDLESBROUGH,MIDDLESBROUGH,A,A
{A64E6025-1BF6-4769-B080-45C8B9119ED8},55000,1995-03-31 00:00,S,N,F,SWINDON,THAMESDOWN,THAMESDOWN,A,A
{245AD0F6-269C-4E7C-81D0-3EA95518A5E5},28500,1995-10-19 00:00,T,N,F,BOOTLE,SEFTON,MERSEYSIDE,A,A
{D0BAED24-1E5E-40CF-8457-3EA95E91EF75},76000,1995-01-18 00:00,D,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
